λ,OD,T
1300,0.83326,0.146804713561414
1299,0.969716,0.10722202374780601
1298,1.077788,0.08360110157800771
1297,1.171573,0.0673638654899906
1296,1.261165,0.0548068699515704
1295,1.346821,0.044996527559604704
1294,1.433725,0.0368362150738807
1293,1.524091,0.0299163771739218
1292,1.607166,0.024707795605932
1291,1.683676,0.0207168632824742
1290,1.76649,0.0171202459707217
1289,1.824523,0.0149787992403665
1288,1.870109,0.013486243599760701
1287,1.921429,0.0119831501195941
1286,1.971983,0.0106663787282901
1285,2.070502,0.00850154778070985
1284,2.177633,0.006643042026986949
1283,2.29177,0.005107754322554729
1282,2.417848,0.0038207797203194498
1281,2.529386,0.00295538455945522
1280,2.623975,0.00237697711248831
1279,2.716846,0.00191934921760934
1278,2.797863,0.00159271107514384
1277,2.878976,0.0013213686536993
1276,2.959171,0.0010985731997991501
1275,3.030997,0.0009311143073553869
1274,3.102589,0.0007896070185942721
1273,3.204522,0.000624421718228236
1272,3.275307,0.000530509298012376
1271,3.344699,0.000452169224391415
1270,3.41164,0.000387578787730709
1269,3.467332,0.00034093218355605806
1268,3.504455,0.00031300047743669
1267,3.5579,0.000276757883062595
1266,3.616715,0.00024170464688352
1265,3.679928,0.000208964253588088
1264,3.74061,0.000181714674295267
1263,3.795014,0.00016031937089979397
1262,3.845607,0.000142689823251182
1261,3.880001,0.000131825370316159
1260,3.92095,0.000119963740855994
1259,3.976843,0.000105476813233795
1258,4.016476,9.627732163173841e-05
1257,4.059847,8.712704805811541e-05
1256,4.10471,7.85760150554613e-05
1255,4.138911,7.26254773630154e-05
1254,4.178245,6.633687363986089e-05
1253,4.202284,6.27647784252988e-05
1252,4.25612,5.54472485380196e-05
1251,4.298968,5.02379604855928e-05
1250,4.344152,4.52739096686388e-05
1249,4.385055,4.1204533347361204e-05
1248,4.43658,3.65948524139639e-05
1247,4.471461,3.3770617357125304e-05
1246,4.494323,3.20388559637826e-05
1245,4.52135,3.01057880640596e-05
1244,4.589697,2.57218973066861e-05
1243,4.62424,2.37552715900588e-05
1242,4.659421,2.1906802858205797e-05
1241,4.689453,2.04431116245062e-05
1240,4.749265,1.78129151831671e-05
1239,4.838681,1.44983640309676e-05
1238,4.857511,1.38831814555639e-05
1237,4.905574,1.24287084342648e-05
1236,4.889595,1.28945146523302e-05
1235,4.939491,1.1495000645684199e-05
1234,4.951981,1.1169121106300499e-05
1233,5.057271,8.76453742846278e-06
1232,5.109892,7.76440177136998e-06
1231,5.17135,6.73984641322686e-06
1230,5.233676,5.83880538646646e-06
1229,5.185319,6.526509883078441e-06
1228,5.226795,5.93205269153708e-06
1227,5.320819,4.77728334009237e-06
1226,5.307237,4.9290474618386e-06
1225,5.366644,4.2988867084162e-06
1224,5.31869,4.80076005277953e-06
1223,5.376198,4.20534857848173e-06
1222,5.536926,2.90451751680964e-06
1221,5.515173,3.05370443622546e-06
1220,5.573351,2.67084693795769e-06
1219,5.518421,3.0309515905376497e-06
1218,5.391753,4.0573922936790005e-06
1217,5.497575,3.17998447704421e-06
1216,5.614738,2.42807445551834e-06
1215,5.673091,2.12279961406223e-06
1214,5.861856,1.3744976447459701e-06
1213,5.916012,1.21335532375522e-06
1212,5.678981,2.09420407342532e-06
1211,5.662427,2.1755696919941103e-06
1210,5.656769,2.20409850505036e-06
1209,5.706534,1.96546810220024e-06
1208,5.949023,1.1245454170750699e-06
1207,5.668248,2.14660432477155e-06
1206,5.648667,2.24560310434506e-06
1205,5.653941,2.21849778784513e-06
1204,5.757981,1.74589853276849e-06
1203,5.966285,1.08072450740181e-06
1202,5.941359,1.14456641958301e-06
1201,5.952575,1.1153855144633301e-06
1200,6.037914,9.164019401922399e-07
1199,6.011358,9.74186260100375e-07
1198,6.097624,7.9868586787958e-07
1197,5.764475,1.71998634876172e-06
1196,5.875171,1.33299647205592e-06
1195,5.813009,1.5381227650458101e-06
1194,5.910316,1.2293739320656301e-06
1193,6.939624,1.1491480911781699e-07
1192,6.49188755555556,3.2219028755232296e-07
1191,6.53195155555556,2.93797735758269e-07
1190,7.549896,2.81905792699994e-08
1189,6.238972,5.76803650099096e-07
1188,6.54896777777778,2.82508957299007e-07
1187,6.235747,5.8110284273828e-07
1186,6.611378,2.44693256050573e-07
