λ,T,Optical Density
2600,2.33e-05,4.63308
2599,3.6099999999999997e-05,4.4424
2598,3.23e-05,4.49068
2597,3.2e-05,4.49515
2596,2.8700000000000003e-05,4.54238
2595,3.06e-05,4.51451
2594,2.5799999999999997e-05,4.58788
2593,3.2200000000000003e-05,4.49271
2592,3.0500000000000003e-05,4.51588
2591,2.97e-05,4.52654
2590,3.11e-05,4.50752
2589,2.96e-05,4.529
2588,3.25e-05,4.48826
2587,3.19e-05,4.49555
2586,2.5600000000000002e-05,4.59109
2585,3.13e-05,4.50461
2584,2.36e-05,4.6266
2583,2.63e-05,4.57947
2582,2.45e-05,4.61083
2581,2.36e-05,4.62655
2580,2.5600000000000002e-05,4.59235
2579,2.3e-05,4.63779
2578,2.8e-05,4.55321
2577,2.45e-05,4.61012
2576,2.33e-05,4.63187
2575,2.12e-05,4.67419
2574,2.2300000000000003e-05,4.65219
2573,2.28e-05,4.64114
2572,2.2599999999999997e-05,4.64573
2571,2.05e-05,4.68915
2570,2.31e-05,4.6371
2569,2.13e-05,4.67094
2568,2.2499999999999998e-05,4.64854
2567,2.48e-05,4.60585
2566,2.12e-05,4.67333
2565,1.77e-05,4.75318
2564,1.86e-05,4.73145
2563,1.94e-05,4.71325
2562,1.62e-05,4.79146
2561,1.9e-05,4.72198
2560,1.84e-05,4.73492
2559,1.8500000000000002e-05,4.73347
2558,1.93e-05,4.71414
2557,1.6800000000000002e-05,4.77401
2556,1.6800000000000002e-05,4.77364
2555,1.1999999999999999e-05,4.91936
2554,1.57e-05,4.80352
2553,1.25e-05,4.90451
2552,1.7899999999999998e-05,4.7463
2551,1.48e-05,4.83039
2550,1.2899999999999998e-05,4.89032
2549,1.36e-05,4.86558
2548,1.57e-05,4.80486
2547,1.43e-05,4.84318
2546,1.2600000000000001e-05,4.90028
2545,1.14e-05,4.94402
2544,1.33e-05,4.87708
2543,1.12e-05,4.94906
2542,1.42e-05,4.8462
2541,1.09e-05,4.96419
2540,1.2299999999999999e-05,4.91136
2539,1.07e-05,4.96889
2538,1.2299999999999999e-05,4.90952
2537,1.17e-05,4.93293
2536,1.34e-05,4.87137
2535,9.83737e-06,5.00712
2534,1.14e-05,4.94498
2533,1.17e-05,4.93155
2532,1.09e-05,4.96347
2531,1.02e-05,4.99071
2530,1.08e-05,4.96754
2529,9.63274e-06,5.01625
2528,8.89797e-06,5.05071
2527,1.1999999999999999e-05,4.92184
2526,1.12e-05,4.95021
2525,9.0703e-06,5.04238
2524,1.02e-05,4.99051
2523,9.11558e-06,5.04022
2522,7.99571e-06,5.09714
2521,8.411039999999999e-06,5.07515
2520,9.18257e-06,5.03704
2519,9.62664e-06,5.01653
2518,1.06e-05,4.97564
2517,8.97009e-06,5.0472
2516,9.0333e-06,5.04415
2515,8.44782e-06,5.07326
2514,9.04218e-06,5.04373
2513,8.87265e-06,5.05195
2512,1.01e-05,4.99595
2511,6.8994599999999995e-06,5.16118
2510,8.61862e-06,5.06456
2509,7.45738e-06,5.12741
2508,8.51766e-06,5.06968
2507,7.46628e-06,5.1269
2506,8.0758e-06,5.09281
2505,8.1406e-06,5.08934
2504,8.67712e-06,5.06162
2503,9.21958e-06,5.03529
2502,7.33209e-06,5.13477
2501,7.12093e-06,5.14746
2500,7.0256300000000005e-06,5.15331
2499,8.49024e-06,5.07108
2498,6.546670000000001e-06,5.18398
2497,7.34691e-06,5.1339
2496,7.79679e-06,5.10808
2495,8.467540000000001e-06,5.07224
2494,7.4719e-06,5.12657
2493,6.400709999999999e-06,5.19377
2492,8.39403e-06,5.07603
2491,7.301710000000001e-06,5.13658
2490,6.34395e-06,5.19764
2489,6.51971e-06,5.18577
2488,7.45192e-06,5.12773
2487,8.47818e-06,5.0717
2486,5.66607e-06,5.24672
2485,5.32812e-06,5.27343
2484,6.25749e-06,5.2036
2483,5.83218e-06,5.23417
2482,5.97513e-06,5.22365
2481,6.08479e-06,5.21575
2480,6.5648499999999995e-06,5.18278
2479,6.5505e-06,5.18373
2478,5.2505200000000005e-06,5.2798
2477,5.29941e-06,5.27577
2476,5.258469999999999e-06,5.27914
2475,4.61666e-06,5.33567
2474,3.71266e-06,5.43032
2473,4.8085199999999995e-06,5.31799
2472,5.14325e-06,5.28876
2471,4.1236700000000004e-06,5.38472
2470,5.09537e-06,5.29282
2469,3.90009e-06,5.40893
2468,4.3976e-06,5.35678
2467,4.41258e-06,5.35531
2466,4.76762e-06,5.3217
2465,4.79462e-06,5.31925
2464,4.4466e-06,5.35197
2463,5.6776600000000005e-06,5.24583
2462,4.3364e-06,5.36287
2461,5.42743e-06,5.26541
2460,3.8463800000000004e-06,5.41495
2459,3.5584499999999998e-06,5.44874
2458,3.74542e-06,5.4265
2457,3.33096e-06,5.47743
2456,5.11848e-06,5.29086
2455,1.98276e-06,5.70273
2454,3.7254e-06,5.42883
2453,3.91129e-06,5.40768
2452,4.05644e-06,5.39186
2451,3.2062099999999997e-06,5.49401
2450,4.27615e-06,5.36895
2449,4.1902900000000005e-06,5.37776
2448,2.41544e-06,5.617
2447,4.1705300000000005e-06,5.37981
2446,3.6360700000000002e-06,5.43937
2445,2.99995e-06,5.52289
2444,4.02588e-06,5.39514
2443,3.47217e-06,5.4594
2442,3.26793e-06,5.48573
2441,3.41129e-06,5.46708
2440,3.5008700000000002e-06,5.45582
2439,2.6702099999999997e-06,5.57345
2438,3.3785e-06,5.47128
2437,4.38168e-06,5.35836
2436,2.33043e-06,5.63256
2435,3.55475e-06,5.44919
2434,2.92507e-06,5.53386
2433,2.38659e-06,5.62222
2432,3.57257e-06,5.44702
2431,1.9023799999999999e-06,5.7207
2430,3.3472e-06,5.47532
2429,3.10752e-06,5.50759
2428,3.18005e-06,5.49757
2427,3.09428e-06,5.50944
2426,3.0445599999999998e-06,5.51648
2425,3.1650299999999997e-06,5.49962
2424,2.04608e-06,5.68908
2423,1.60342e-06,5.79495
2422,1.32414e-06,5.87806
2421,2.5663900000000003e-06,5.59068
2420,3.1253999999999998e-06,5.50509
2419,1.63045e-06,5.78769
2418,2.18363e-06,5.66082
2417,1.56331e-06,5.80596
2416,2.09101e-06,5.67964
2415,2.47519e-06,5.60639
2414,2.04263e-06,5.68981
2413,1.35224e-06,5.86895
2412,2.21833e-06,5.65397
2411,2.46995e-06,5.60731
2410,1.74319e-06,5.75866
2409,2.72504e-06,5.56463
2408,1.5034999999999999e-06,5.8229
2407,1.5516299999999999e-06,5.80921
2406,2.1746600000000003e-06,5.66261
2405,2.69981e-06,5.56867
2404,2.4046300000000002e-06,5.61895
2403,2.5507900000000004e-06,5.59332
2402,1.98837e-06,5.7015
2401,2.87659e-06,5.54112
2400,2.7481400000000003e-06,5.56096
2399,3.0598399999999997e-06,5.5143
2398,2.25261e-06,5.64731
2397,2.07693e-06,5.68258
2396,1.97775e-06,5.70383
2395,2.27847e-06,5.64236
2394,2.38491e-06,5.62253
2393,1.7755900000000001e-06,5.75066
2392,2.58156e-06,5.58812
2391,1.78369e-06,5.74868
2390,2.374e-06,5.62452
2389,1.80068e-06,5.74456
2388,2.06481e-06,5.68512
2387,2.38474e-06,5.62256
2386,2.4964699999999997e-06,5.60267
2385,2.87816e-06,5.54088
2384,2.3384e-06,5.63108
2383,2.53162e-06,5.5966
2382,2.79393e-06,5.55378
2381,2.26626e-06,5.64469
2380,2.20696e-06,5.65621
2379,2.78153e-06,5.55572
2378,1.99083e-06,5.70097
2377,2.42153e-06,5.61591
2376,2.31148e-06,5.63611
2375,2.40264e-06,5.61931
2374,2.75842e-06,5.55934
2373,3.02711e-06,5.51897
2372,1.90571e-06,5.71994
2371,2.42637e-06,5.61504
2370,2.64538e-06,5.57751
2369,1.5474799999999999e-06,5.81038
2368,1.70807e-06,5.76749
2367,2.28304e-06,5.64149
2366,1.62863e-06,5.78818
2365,2.70465e-06,5.56789
2364,2.58324e-06,5.58783
2363,2.40042e-06,5.61971
2362,2.68627e-06,5.57085
2361,2.41941e-06,5.61629
2360,1.98827e-06,5.70152
2359,2.50483e-06,5.60122
2358,2.11468e-06,5.67476
2357,2.85036e-06,5.5451
2356,1.77508e-06,5.75078
2355,2.33696e-06,5.63135
2354,2.40444e-06,5.61899
2353,2.17988e-06,5.66157
2352,2.40419e-06,5.61903
2351,1.60118e-06,5.79556
2350,2.6129799999999997e-06,5.58286
2349,2.66942e-06,5.57358
2348,2.26661e-06,5.64462
2347,3.1048600000000003e-06,5.50796
2346,2.15077e-06,5.66741
2345,3.01823e-06,5.52025
2344,1.8852e-06,5.72464
2343,2.8589300000000003e-06,5.5438
2342,1.6340199999999999e-06,5.78674
2341,2.46453e-06,5.60827
2340,2.81032e-06,5.55124
2339,2.44832e-06,5.61113
2338,2.25682e-06,5.6465
2337,3.11082e-06,5.50712
2336,2.72492e-06,5.56465
2335,2.3768300000000002e-06,5.624
2334,1.5358799999999999e-06,5.81364
2333,2.16981e-06,5.66358
2332,3.04928e-06,5.5158
2331,2.4158599999999998e-06,5.61693
2330,2.98528e-06,5.52502
2329,2.60889e-06,5.58354
2328,2.27027e-06,5.64392
2327,3.6454499999999995e-06,5.43825
2326,1.88824e-06,5.72394
2325,2.12072e-06,5.67352
2324,2.18379e-06,5.66079
2323,2.9847e-06,5.5251
2322,1.54149e-06,5.81206
2321,2.37252e-06,5.62479
2320,2.79643e-06,5.5534
2319,1.9861999999999997e-06,5.70198
2318,3.4383800000000003e-06,5.46365
2317,2.27151e-06,5.64369
2316,2.13602e-06,5.67039
2315,2.7995199999999998e-06,5.55292
2314,2.66195e-06,5.5748
2313,2.42969e-06,5.61445
2312,2.62063e-06,5.58159
2311,2.6650300000000003e-06,5.5743
2310,2.00996e-06,5.69681
2309,3.10178e-06,5.50839
2308,2.0718599999999998e-06,5.68364
2307,2.39783e-06,5.62018
2306,2.33651e-06,5.63143
2305,2.57333e-06,5.5895
2304,2.13959e-06,5.66967
2303,2.6527499999999997e-06,5.5763
2302,2.52246e-06,5.59818
2301,2.85232e-06,5.5448
2300,4.1620999999999995e-06,5.38069
2299,3.8621100000000005e-06,5.41318
2298,3.62048e-06,5.44123
2297,3.97258e-06,5.40093
2296,3.89946e-06,5.409
2295,2.3001299999999998e-06,5.63825
2294,4.9148e-06,5.30849
2293,4.99582e-06,5.30139
2292,4.37831e-06,5.35869
2291,3.96261e-06,5.40202
2290,3.6287100000000004e-06,5.44025
2289,4.77319e-06,5.32119
2288,5.61118e-06,5.25095
2287,6.02497e-06,5.22005
2286,6.07841e-06,5.21621
2285,7.14019e-06,5.14629
2284,7.85964e-06,5.1046
2283,7.63657e-06,5.1171
2282,7.814090000000001e-06,5.10712
2281,9.01735e-06,5.04492
2280,7.47678e-06,5.12629
2279,8.667879999999999e-06,5.06209
2278,6.135659999999999e-06,5.21214
2277,8.80831e-06,5.05511
2276,9.93909e-06,5.00265
2275,9.31818e-06,5.03067
2274,6.65584e-06,5.1768
2273,8.59818e-06,5.06559
2272,8.9932e-06,5.04609
2271,7.99136e-06,5.09738
2270,7.972170000000001e-06,5.09842
2269,8.70627e-06,5.06017
2268,8.61638e-06,5.06467
2267,8.890820000000001e-06,5.05106
2266,7.624179999999999e-06,5.11781
2265,8.45305e-06,5.07299
2264,8.6838e-06,5.06129
2263,8.06968e-06,5.09314
2262,8.79898e-06,5.05557
2261,7.41952e-06,5.12962
2260,9.14668e-06,5.03874
2259,7.7375e-06,5.1114
2258,9.3357e-06,5.02985
2257,8.29604e-06,5.08113
2256,1.0399999999999999e-05,4.98132
2255,8.42692e-06,5.07433
2254,8.7757e-06,5.05672
2253,7.80245e-06,5.10777
2252,7.328290000000001e-06,5.135
2251,8.26828e-06,5.08258
2250,6.7045e-06,5.17363
2249,8.20301e-06,5.08603
2248,7.2632999999999996e-06,5.13887
2247,7.102350000000001e-06,5.1486
2246,6.82401e-06,5.16596
2245,4.29941e-06,5.36659
2244,6.57074e-06,5.18239
2243,5.341169999999999e-06,5.27236
2242,5.83815e-06,5.23372
2241,4.89062e-06,5.31064
2240,3.59451e-06,5.44436
2239,3.91726e-06,5.40702
2238,4.38295e-06,5.35823
2237,5.40081e-06,5.26754
2236,3.03283e-06,5.51815
2235,4.8789299999999996e-06,5.31168
2234,4.4384e-06,5.35277
2233,3.8246e-06,5.41741
2232,4.6771600000000005e-06,5.33002
2231,2.39455e-06,5.62078
2230,4.75101e-06,5.32321
2229,3.69532e-06,5.43235
2228,4.74098e-06,5.32413
2227,3.87508e-06,5.41172
2226,3.46011e-06,5.46091
2225,2.84556e-06,5.54583
2224,3.9903600000000005e-06,5.39899
2223,3.2381400000000002e-06,5.4897
2222,4.50747e-06,5.34607
2221,2.6717899999999997e-06,5.5732
2220,3.3596400000000002e-06,5.47371
2219,3.4884500000000005e-06,5.45737
2218,3.86946e-06,5.41235
2217,2.69087e-06,5.57011
2216,3.42036e-06,5.46593
2215,3.19351e-06,5.49573
2214,2.85779e-06,5.54397
2213,3.5970400000000003e-06,5.44405
2212,2.9375300000000002e-06,5.53202
2211,3.43651e-06,5.46388
2210,2.67907e-06,5.57202
2209,2.59278e-06,5.58623
2208,2.89285e-06,5.53867
2207,3.51644e-06,5.4539
2206,3.7360300000000003e-06,5.42759
2205,2.4628300000000004e-06,5.60856
2204,2.0621800000000002e-06,5.68567
2203,2.84554e-06,5.54583
2202,2.6056400000000003e-06,5.58409
2201,2.50912e-06,5.60048
2200,2.68203e-06,5.57154
2199,2.24448e-06,5.64888
2198,2.53865e-06,5.5954
2197,2.4981e-06,5.60239
2196,3.27247e-06,5.48512
2195,3.17254e-06,5.49859
2194,2.5361200000000003e-06,5.59583
2193,3.05295e-06,5.51528
2192,3.50679e-06,5.45509
2191,2.5389e-06,5.59535
2190,2.06286e-06,5.68553
2189,3.44723e-06,5.46253
2188,2.9971499999999998e-06,5.52329
2187,2.45898e-06,5.60924
2186,2.39034e-06,5.62154
2185,3.06045e-06,5.51421
2184,3.59798e-06,5.44394
2183,1.92391e-06,5.71582
2182,2.72362e-06,5.56485
2181,2.8954099999999997e-06,5.53829
2180,1.89093e-06,5.72333
2179,2.51867e-06,5.59883
2178,2.2567099999999998e-06,5.64652
2177,2.89377e-06,5.53854
2176,2.9129299999999997e-06,5.53567
2175,3.41368e-06,5.46678
2174,3.37582e-06,5.47162
2173,3.38398e-06,5.47057
2172,3.9386e-06,5.40466
2171,3.49968e-06,5.45597
2170,3.7587299999999997e-06,5.42496
2169,3.9884700000000005e-06,5.39919
2168,3.0096399999999998e-06,5.52149
2167,3.20129e-06,5.49468
2166,2.9692e-06,5.52736
2165,3.2241700000000004e-06,5.49158
2164,3.79613e-06,5.42066
2163,4.00959e-06,5.3969
2162,3.2772800000000002e-06,5.48449
2161,4.09064e-06,5.38821
2160,4.35908e-06,5.36061
2159,3.81359e-06,5.41867
2158,3.7900800000000002e-06,5.42135
2157,4.12569e-06,5.3845
2156,3.09821e-06,5.50889
2155,3.3764199999999997e-06,5.47154
2154,1.8088199999999999e-06,5.7426
2153,3.30062e-06,5.48141
2152,3.24197e-06,5.48919
2151,2.5153699999999997e-06,5.5994
2150,2.9535899999999997e-06,5.52965
2149,3.14085e-06,5.50295
2148,4.38509e-06,5.35802
2147,3.35899e-06,5.47379
2146,3.0620799999999997e-06,5.51398
2145,3.1397899999999997e-06,5.5031
2144,3.3367299999999997e-06,5.47668
2143,3.0436e-06,5.51661
2142,3.71747e-06,5.42975
2141,3.7779300000000003e-06,5.42275
2140,4.2506500000000005e-06,5.37154
2139,3.8086800000000004e-06,5.41923
2138,4.14125e-06,5.38287
2137,3.30358e-06,5.48101
2136,3.0695400000000003e-06,5.51293
2135,3.16344e-06,5.49984
2134,3.26324e-06,5.48635
2133,3.0605299999999997e-06,5.5142
2132,3.3032999999999998e-06,5.48105
2131,2.91808e-06,5.5349
2130,2.83321e-06,5.54772
2129,2.30514e-06,5.6373
2128,3.1324800000000004e-06,5.50411
2127,3.0122299999999997e-06,5.52111
2126,2.4282e-06,5.61472
2125,1.6947699999999999e-06,5.77089
2124,4.03708e-06,5.39393
2123,3.80206e-06,5.41998
2122,2.5076999999999997e-06,5.60072
2121,3.2239299999999997e-06,5.49161
2120,3.47213e-06,5.4594
2119,2.74529e-06,5.56141
2118,2.8107199999999997e-06,5.55118
2117,3.3369299999999997e-06,5.47665
2116,2.38372e-06,5.62275
2115,2.1321099999999997e-06,5.67119
2114,2.99862e-06,5.52308
2113,2.32668e-06,5.63326
2112,2.1076999999999997e-06,5.67619
2111,1.8738300000000002e-06,5.72727
2110,2.68337e-06,5.57132
2109,3.52345e-06,5.45303
2108,3.3588e-06,5.47382
2107,2.66822e-06,5.57378
2106,2.77619e-06,5.55655
2105,2.54519e-06,5.59428
2104,3.10277e-06,5.50825
2103,3.6576300000000003e-06,5.4368
2102,2.10957e-06,5.67581
2101,1.74961e-06,5.75706
2100,1.8885500000000001e-06,5.72387
2099,3.3944599999999996e-06,5.46923
2098,2.64455e-06,5.57765
2097,2.0997e-06,5.67784
2096,3.083e-06,5.51103
2095,2.9106500000000002e-06,5.53601
2094,2.3078899999999997e-06,5.63678
2093,3.53239e-06,5.45193
2092,2.25316e-06,5.64721
2091,2.43146e-06,5.61413
2090,2.67773e-06,5.57223
2089,2.3446e-06,5.62993
2088,3.19334e-06,5.49575
2087,3.03746e-06,5.51749
2086,2.71085e-06,5.5669
2085,2.0001200000000003e-06,5.69894
2084,2.22108e-06,5.65344
2083,1.7369299999999998e-06,5.76022
2082,1.99644e-06,5.69974
2081,1.93156e-06,5.71409
2080,1.96042e-06,5.70765
2079,2.41416e-06,5.61723
2078,2.30487e-06,5.63735
2077,1.39972e-06,5.85396
2076,2.30842e-06,5.63669
2075,1.60973e-06,5.79325
2074,3.6193299999999998e-06,5.44137
2073,2.18259e-06,5.66103
2072,3.26166e-06,5.48656
2071,1.80448e-06,5.74365
2070,2.02507e-06,5.69356
2069,1.67746e-06,5.77535
2068,2.0599e-06,5.68615
2067,1.96709e-06,5.70618
2066,2.6067e-06,5.58391
2065,2.48945e-06,5.6039
2064,1.91753e-06,5.71726
2063,2.37062e-06,5.62514
2062,3.0467100000000003e-06,5.51617
2061,2.89569e-06,5.53825
2060,1.35186e-06,5.86907
2059,2.1874e-06,5.66007
2058,2.6884199999999997e-06,5.5705
2057,1.7585600000000002e-06,5.75484
2056,2.20456e-06,5.65668
2055,2.54884e-06,5.59366
2054,2.06461e-06,5.68516
2053,3.04443e-06,5.51649
2052,2.74421e-06,5.56158
2051,2.24516e-06,5.64875
2050,1.3836799999999999e-06,5.85896
2049,2.9075299999999997e-06,5.53648
2048,1.3592699999999999e-06,5.86669
2047,2.18155e-06,5.66123
2046,2.23543e-06,5.65064
2045,2.6077e-06,5.58374
2044,2.40338e-06,5.61918
2043,1.73886e-06,5.75973
2042,2.54833e-06,5.59374
2041,2.9266300000000005e-06,5.53363
2040,1.94607e-06,5.71084
2039,1.9220700000000002e-06,5.71623
2038,2.15012e-06,5.66754
2037,2.0823e-06,5.68146
2036,2.3682799999999997e-06,5.62557
2035,2.963e-06,5.52827
2034,1.81843e-06,5.7403
2033,2.3210099999999997e-06,5.63432
2032,1.89588e-06,5.72219
2031,1.91069e-06,5.71881
2030,2.5587599999999997e-06,5.59197
2029,2.03122e-06,5.69224
2028,2.63e-06,5.58004
2027,2.65905e-06,5.57527
2026,3.34723e-06,5.47531
2025,3.15918e-06,5.50043
2024,2.6311900000000005e-06,5.57985
2023,2.64087e-06,5.57825
2022,2.31031e-06,5.63633
2021,1.60376e-06,5.79486
2020,1.8582200000000002e-06,5.7309
2019,1.72886e-06,5.76224
