λ,T
350.0,0.0009707
351.0,0.0007833
352.0,0.0011706
353.0,0.0013491
354.0,0.0009498999999999
355.0,0.0007194
356.0,0.0008977
357.0,0.001898
358.0,0.0027316
359.0,0.0026745999999999
360.0,0.0037543999999999
361.0,0.0089573
362.0,0.0131433
363.0,0.009753
364.0,0.0060558999999999
365.0,0.011321
366.0,0.0269219
367.0,0.03613
368.0,0.0263187999999999
369.0,0.0155558
370.0,0.0107987
371.0,0.0078121
372.0,0.0067271
373.0,0.0084805
374.0,0.0173451
375.0,0.0366236
376.0,0.0587133
377.0,0.0756515
378.0,0.0915245
379.0,0.101074
380.0,0.0960728
381.0,0.0881628999999999
382.0,0.109827
383.0,0.186416
384.0,0.30155
385.0,0.396928
386.0,0.447288
387.0,0.500618
388.0,0.478851
389.0,0.305269
390.0,0.13072
391.0,0.0692788
392.0,0.0518994
393.0,0.0748339
394.0,0.162928
395.0,0.2328059999999999
396.0,0.1520689999999999
397.0,0.058916
398.0,0.073516
399.0,0.150296
400.0,0.126583
401.0,0.0328001999999999
402.0,0.0044148999999999
403.0,0.0020485
404.0,0.0011582
405.0,0.0010283
406.0,0.0011434
407.0,0.0008961
408.0,0.0011892
409.0,0.0009035
410.0,0.0011520999999999
411.0,0.0017456
412.0,0.0028141
413.0,0.0048094
414.0,0.010959
415.0,0.0282629
416.0,0.0742805
417.0,0.170211
418.0,0.301921
419.0,0.409016
420.0,0.474183
421.0,0.528784
422.0,0.6391680000000001
423.0,0.789234
424.0,0.8944970000000001
425.0,0.937134
426.0,0.947612
427.0,0.947708
428.0,0.946713
429.0,0.944552
430.0,0.945259
431.0,0.946736
432.0,0.954162
433.0,0.956321
434.0,0.958104
435.0,0.958076
436.0,0.957195
437.0,0.958876
438.0,0.958936
439.0,0.962406
440.0,0.967657
441.0,0.971046
442.0,0.972875
443.0,0.969616
444.0,0.968458
445.0,0.965978
446.0,0.970857
447.0,0.972281
448.0,0.971804
449.0,0.969006
450.0,0.964207
451.0,0.963296
452.0,0.962418
453.0,0.96765
454.0,0.970476
455.0,0.974401
456.0,0.97601
457.0,0.972581
458.0,0.969759
459.0,0.970621
460.0,0.97262
461.0,0.974747
462.0,0.976167
463.0,0.975139
464.0,0.972112
465.0,0.969624
466.0,0.969072
467.0,0.967818
468.0,0.968376
469.0,0.968909
470.0,0.968662
471.0,0.968166
472.0,0.968851
473.0,0.969664
474.0,0.968132
475.0,0.968812
476.0,0.969501
477.0,0.969484
478.0,0.967128
479.0,0.966497
480.0,0.964672
481.0,0.967008
482.0,0.969153
483.0,0.967215
484.0,0.966923
485.0,0.965211
486.0,0.96382
487.0,0.962031
488.0,0.961354
489.0,0.961643
490.0,0.963781
491.0,0.963166
492.0,0.964224
493.0,0.963339
494.0,0.963654
495.0,0.962317
496.0,0.962509
497.0,0.96354
498.0,0.963065
499.0,0.962818
500.0,0.964287
501.0,0.964156
502.0,0.963945
503.0,0.965543
504.0,0.963545
505.0,0.961375
506.0,0.959957
507.0,0.958046
508.0,0.958695
509.0,0.959628
510.0,0.954382
511.0,0.928668
512.0,0.8483280000000001
513.0,0.723978
514.0,0.56116
515.0,0.413972
516.0,0.294247
517.0,0.2032079999999999
518.0,0.146858
519.0,0.105503
520.0,0.0799256
521.0,0.0628928
522.0,0.0511402
523.0,0.0426983
524.0,0.0373856999999999
525.0,0.0332423
526.0,0.0305599
527.0,0.0290401
528.0,0.0284152
529.0,0.0285181
530.0,0.0295509
531.0,0.0311219
532.0,0.0339186999999999
533.0,0.0381266
534.0,0.0438914
535.0,0.051558
536.0,0.0626609
537.0,0.0774748
538.0,0.0990809
539.0,0.13164
540.0,0.175211
541.0,0.234572
542.0,0.307408
543.0,0.383586
544.0,0.467263
545.0,0.5550419999999999
546.0,0.638548
547.0,0.730338
548.0,0.8149930000000001
549.0,0.886012
550.0,0.927757
551.0,0.943898
552.0,0.948207
553.0,0.951236
554.0,0.958798
