λ,T
200.0,2.2045e-06
201.0,2.264e-06
202.0,4.148e-06
203.0,3.734e-06
204.0,5.493e-06
205.0,2.969e-06
206.0,3.9074999999999994e-06
207.0,6.9555e-06
208.0,8.068e-06
209.0,5.7805e-06
210.0,4.9585e-06
211.0,4.5475e-06
212.0,3.319e-06
213.0,3.2019999999999996e-06
214.0,3.0845e-06
215.0,3.844e-06
216.0,5.1855e-06
217.0,5.242499999999999e-06
218.0,1.6255e-06
219.0,4.19e-06
220.0,3.7225000000000004e-06
221.0,4.825e-06
222.0,4.937500000000001e-06
223.0,4.297e-06
224.0,2.8475000000000003e-06
225.0,3.7145e-06
226.0,3.6555000000000004e-06
227.0,5.6725e-06
228.0,4.286e-06
229.0,5.4355e-06
230.0,3.3625e-06
231.0,4.627e-06
232.0,3.2469999999999996e-06
233.0,5.1415e-06
234.0,4.8545e-06
235.0,4.797499999999999e-06
236.0,3.0745000000000004e-06
237.0,4.455e-06
238.0,3.4205e-06
239.0,5.1465e-06
240.0,3.3635e-06
241.0,4.6885e-06
242.0,2.039e-06
243.0,3.4225e-06
244.0,3.365e-06
245.0,4.402e-06
246.0,3.5375e-06
247.0,3.999e-06
248.0,3.1915e-06
249.0,3.2489999999999997e-06
250.0,2.327e-06
251.0,4.169e-06
252.0,3.5355e-06
253.0,2.5e-06
254.0,1.753e-06
255.0,5.3725e-06
256.0,6.518e-06
257.0,4.5649999999999995e-06
258.0,4.335e-06
259.0,3.589e-06
260.0,2.0415e-06
261.0,3.1305e-06
262.0,4.1625e-06
263.0,3.1305e-06
264.0,2.5575e-06
265.0,1.354e-06
266.0,3.818e-06
267.0,1.4105e-06
268.0,1.984e-06
269.0,2.6144999999999997e-06
270.0,4.9655e-06
271.0,3.9905e-06
272.0,3.4745000000000004e-06
273.0,2.9014999999999997e-06
274.0,5.710500000000001e-06
275.0,3.7605000000000002e-06
276.0,5.421e-06
277.0,3.531e-06
278.0,2.958e-06
279.0,2.958e-06
280.0,4.1025e-06
281.0,3.758e-06
282.0,4.616e-06
283.0,3.243e-06
284.0,2.1570000000000003e-06
285.0,1.7575e-06
286.0,4.213e-06
287.0,2.386e-06
288.0,4.3825e-06
289.0,2.0435e-06
290.0,3.91e-07
291.0,3.583e-06
292.0,5.0644999999999995e-06
293.0,3.525e-06
294.0,4.3785e-06
295.0,1.817e-06
296.0,2.7274999999999997e-06
297.0,5.060000000000001e-06
298.0,4.4325e-06
299.0,3.977e-06
300.0,5.51e-06
301.0,2.9540000000000004e-06
302.0,1.819e-06
303.0,5.3939999999999995e-06
304.0,5.4485000000000004e-06
305.0,4.427e-06
306.0,5.8425e-06
307.0,2.6130000000000002e-06
308.0,2.047e-06
309.0,5.6125e-06
310.0,5.8365e-06
311.0,4.478e-06
312.0,3.1215e-06
313.0,4.984e-06
314.0,5.208e-06
315.0,3.6285e-06
316.0,3.289e-06
317.0,3.458e-06
318.0,4.1905e-06
319.0,3.906e-06
320.0,3.3435000000000003e-06
321.0,5.199999999999999e-06
322.0,4.861e-06
323.0,3.7365e-06
324.0,5.5335e-06
325.0,4.8595e-06
326.0,4.5215e-06
327.0,5.7014999999999995e-06
328.0,4.577e-06
329.0,3.3975e-06
330.0,6.313500000000001e-06
331.0,2.5559999999999998e-06
332.0,5.191e-06
333.0,5.247e-06
334.0,5.806e-06
335.0,3.9e-06
336.0,6.8670000000000005e-06
337.0,3.3395e-06
338.0,6.754e-06
339.0,6.473e-06
340.0,6.247e-06
341.0,3.1710000000000002e-06
342.0,7.474e-06
343.0,4.4e-06
344.0,4.6785e-06
345.0,6.298999999999999e-06
346.0,5.9055000000000005e-06
347.0,3.616e-06
348.0,6.2925e-06
349.0,3.3365e-06
350.0,5.51e-06
351.0,5.9005e-06
352.0,5.842e-06
353.0,4.393e-06
354.0,6.229e-06
355.0,4.225e-06
356.0,4.614e-06
357.0,6.674e-06
358.0,4.5575e-06
359.0,4.3895e-06
360.0,5.2225e-06
361.0,5.055e-06
362.0,3.777e-06
363.0,7.775e-06
364.0,6.2735e-06
365.0,6.106e-06
366.0,5.272999999999999e-06
367.0,5.2720000000000005e-06
368.0,4.6055e-06
369.0,7.984999999999999e-06
370.0,5.710999999999999e-06
371.0,6.3185e-06
372.0,4.989e-06
373.0,5.485499999999999e-06
374.0,4.2685e-06
375.0,8.1355e-06
376.0,6.4735e-06
377.0,5.754e-06
378.0,5.538e-06
379.0,8.1215e-06
380.0,6.135999999999999e-06
381.0,5.5835e-06
382.0,6.078e-06
383.0,3.9855e-06
384.0,4.865499999999999e-06
385.0,7.725499999999999e-06
386.0,5.359e-06
387.0,5.247e-06
388.0,6.1804999999999995e-06
389.0,4.0925e-06
390.0,5.19e-06
391.0,7.825e-06
392.0,6.341e-06
393.0,5.515500000000001e-06
394.0,5.624e-06
395.0,4.7465e-06
396.0,4.308e-06
397.0,7.2659999999999996e-06
398.0,5.237e-06
399.0,6.001e-06
400.0,4.6329999999999995e-06
401.0,4.5775e-06
402.0,4.632e-06
403.0,7.8565e-06
404.0,6.1595e-06
405.0,5.7215e-06
406.0,5.1745e-06
407.0,4.6825000000000005e-06
408.0,5.1185e-06
409.0,7.5725e-06
410.0,5.171e-06
411.0,5.9325e-06
412.0,5.8765e-06
413.0,5.4945000000000005e-06
414.0,5.167499999999999e-06
415.0,7.1265e-06
416.0,4.7300000000000005e-06
417.0,4.6745e-06
418.0,5.000999999999999e-06
419.0,4.5105e-06
420.0,4.782e-06
421.0,6.7374999999999994e-06
422.0,4.0200000000000005e-06
423.0,4.8875e-06
424.0,4.8875e-06
425.0,4.9950000000000005e-06
426.0,4.6145000000000005e-06
427.0,7.488e-06
428.0,6.293e-06
429.0,5.9665e-06
430.0,6.0195e-06
431.0,4.6655e-06
432.0,5.4230000000000004e-06
433.0,6.883e-06
434.0,5.096e-06
435.0,5.149e-06
436.0,6.2295e-06
437.0,4.067e-06
438.0,5.3095e-06
439.0,6.822e-06
440.0,4.768e-06
441.0,4.9284999999999995e-06
442.0,5.953e-06
443.0,4.7115e-06
444.0,6.706499999999999e-06
445.0,9.941500000000001e-06
446.0,0.0002652
447.0,0.0007996
448.0,0.014499100000000001
449.0,0.1071674
450.0,0.3599252
451.0,0.6846664
452.0,0.8831375
453.0,0.9382187999999999
454.0,0.9481303
455.0,0.948918
456.0,0.9471075
457.0,0.9487663000000001
458.0,0.9522874
459.0,0.9547275999999999
460.0,0.958719
461.0,0.962372
462.0,0.9625377
463.0,0.962243
464.0,0.9640997
465.0,0.9650338
466.0,0.9642614
467.0,0.9642099000000001
468.0,0.9659462000000001
469.0,0.9660857
470.0,0.9638468
471.0,0.9624097
472.0,0.9631149000000001
473.0,0.963988
474.0,0.9636622
475.0,0.9625202
476.0,0.9623579
477.0,0.9622853
478.0,0.9616834
479.0,0.9602433
480.0,0.9589373000000001
481.0,0.9579214
482.0,0.9568071
483.0,0.9554201
484.0,0.9549331
485.0,0.9552117
486.0,0.9554447
487.0,0.9552682
488.0,0.9544343000000001
489.0,0.9529759
490.0,0.9515318
491.0,0.9496330000000001
492.0,0.9478067
493.0,0.9471556
494.0,0.947911
495.0,0.9497104000000001
496.0,0.9511451
497.0,0.9509466999999999
498.0,0.9495796
499.0,0.9482875
500.0,0.9478624000000001
501.0,0.9482497
502.0,0.9485085999999999
503.0,0.9479212
504.0,0.9469179
505.0,0.9464506
506.0,0.9467689
507.0,0.9471388000000001
508.0,0.9469007
509.0,0.9457574
510.0,0.9446882999999999
511.0,0.9446454
512.0,0.9454841
513.0,0.9466169
514.0,0.9472271999999999
