λ, IrF, Ir, Ru, IrF+, Ir+, Ru++
420, 6.78E+05, 6.33E+05, 7.21E+05, 5.32E+05, 1.93E+05, 2.09E+05
422, 1.38E+05, 1.56E+05, 1.94E+05, 1.21E+05, 5.67E+04, 5.51E+04
424, 2.82E+04, 1.56E+04, 1.67E+04, 2.26E+04, 2.30E+04, 2.21E+04
426, 2.62E+04, 1.13E+04, 1.18E+04, 2.11E+04, 2.23E+04, 2.07E+04
428, 2.63E+04, 1.10E+04, 1.16E+04, 2.13E+04, 2.21E+04, 2.05E+04
430, 2.53E+04, 1.07E+04, 1.17E+04, 2.12E+04, 2.17E+04, 1.93E+04
432, 2.55E+04, 1.08E+04, 1.16E+04, 2.08E+04, 2.10E+04, 1.91E+04
434, 2.48E+04, 1.07E+04, 1.15E+04, 2.03E+04, 2.02E+04, 1.86E+04
436, 2.43E+04, 1.03E+04, 1.16E+04, 1.98E+04, 1.98E+04, 1.73E+04
438, 2.40E+04, 1.01E+04, 1.13E+04, 1.92E+04, 1.94E+04, 1.68E+04
440, 2.36E+04, 1.03E+04, 1.17E+04, 1.97E+04, 1.92E+04, 1.66E+04
442, 2.42E+04, 1.04E+04, 1.20E+04, 1.95E+04, 1.86E+04, 1.66E+04
444, 2.46E+04, 1.06E+04, 1.18E+04, 1.95E+04, 1.96E+04, 1.64E+04
446, 2.45E+04, 1.10E+04, 1.21E+04, 1.95E+04, 1.92E+04, 1.69E+04
448, 2.50E+04, 1.09E+04, 1.18E+04, 1.98E+04, 2.02E+04, 1.67E+04
450, 2.60E+04, 1.07E+04, 1.15E+04, 1.97E+04, 1.99E+04, 1.66E+04
452, 2.67E+04, 1.07E+04, 1.20E+04, 2.00E+04, 2.04E+04, 1.71E+04
454, 2.76E+04, 1.04E+04, 1.13E+04, 2.05E+04, 2.08E+04, 1.72E+04
456, 2.86E+04, 1.05E+04, 1.18E+04, 2.00E+04, 2.07E+04, 1.71E+04
458, 2.98E+04, 1.03E+04, 1.14E+04, 2.04E+04, 2.09E+04, 1.73E+04
460, 3.15E+04, 1.04E+04, 1.12E+04, 2.01E+04, 2.11E+04, 1.66E+04
462, 3.28E+04, 1.06E+04, 1.14E+04, 2.13E+04, 2.10E+04, 1.70E+04
464, 3.46E+04, 1.04E+04, 1.18E+04, 2.17E+04, 2.07E+04, 1.66E+04
466, 3.68E+04, 1.07E+04, 1.16E+04, 2.18E+04, 2.09E+04, 1.66E+04
468, 3.88E+04, 1.07E+04, 1.18E+04, 2.28E+04, 2.09E+04, 1.65E+04
470, 4.09E+04, 1.08E+04, 1.20E+04, 2.32E+04, 2.07E+04, 1.63E+04
472, 4.26E+04, 1.07E+04, 1.19E+04, 2.40E+04, 2.08E+04, 1.56E+04
474, 4.40E+04, 1.07E+04, 1.16E+04, 2.52E+04, 2.01E+04, 1.60E+04
476, 4.71E+04, 1.07E+04, 1.17E+04, 2.59E+04, 2.03E+04, 1.61E+04
478, 4.92E+04, 1.09E+04, 1.17E+04, 2.76E+04, 2.03E+04, 1.54E+04
