
,20210608_Ru_Disolutions_1em5_P_001ExpoT_10000.mj2,20210608_Ru_Disolutions_1em5_P_002ExpoT_10000.mj2,20210608_Ru_Disolutions_1em5_P_003ExpoT_10000.mj2,20210608_Ru_Disolutions_1em5_P_004ExpoT_10000.mj2,20210608_Ru_Disolutions_1em5_P_005ExpoT_10000.mj2,20210608_Ru_Disolutions_1em5_P_006ExpoT_10000.mj2,20210608_Ru_Disolutions_1em5_P_007ExpoT_10000.mj2,20210608_Ru_Disolutions_1em5_P_008ExpoT_10000.mj2,20210608_Ru_Disolutions_1em5_P_009ExpoT_10000.mj2,20210608_Ru_Disolutions_1em6_P_001ExpoT_10000.mj2,20210608_Ru_Disolutions_1em6_P_002ExpoT_10000.mj2,20210608_Ru_Disolutions_1em6_P_003ExpoT_10000.mj2,20210608_Ru_Disolutions_1em6_P_004ExpoT_10000.mj2,20210608_Ru_Disolutions_1em6_P_005ExpoT_10000.mj2,20210608_Ru_Disolutions_1em6_P_006ExpoT_10000.mj2,20210608_Ru_Disolutions_1em6_P_007ExpoT_10000.mj2,20210608_Ru_Disolutions_1em6_P_008ExpoT_10000.mj2,20210608_Ru_Disolutions_1em6_P_009ExpoT_10000.mj2,20210608_Ru_Disolutions_1em7_P_001ExpoT_10000.mj2,20210608_Ru_Disolutions_1em7_P_002ExpoT_10000.mj2,20210608_Ru_Disolutions_1em7_P_003ExpoT_10000.mj2,20210608_Ru_Disolutions_1em7_P_004ExpoT_10000.mj2,20210608_Ru_Disolutions_1em7_P_005ExpoT_10000.mj2,20210608_Ru_Disolutions_1em7_P_006ExpoT_10000.mj2,20210608_Ru_Disolutions_1em7_P_007ExpoT_10000.mj2,20210608_Ru_Disolutions_1em7_P_008ExpoT_10000.mj2,20210608_Ru_Disolutions_1em7_P_009ExpoT_10000.mj2
0,50740056,75035355,116207481,170740269,227764947,286347105,331797831,368588928,385030386,94942614,51563736,60825969,72229230,85400061,97770654,108421956,116746551,120293175,47949531,50544639,56883525,65012967,74081454,82255176,90310395,95217873,97681716
1,50837190,75183852,116460393,170526222,228108417,285718131,332660763,368200278,384999510,47951355,51680073,61053882,72382704,85648890,97852674,108563616,116937984,120518349,48081276,50397840,57039054,65240145,74195505,82554033,90454116,95366007,97830417
2,50821467,75277461,116448348,170755821,227970336,286295961,333192141,368296839,385527249,47915892,51673968,61123854,72401253,85507620,98092305,108646617,116963838,120924711,48089121,50358021,57203685,65249751,74281218,82638687,90387627,95252160,97781013
3,50853342,75363807,116738643,170421996,228226434,285702852,332323344,367451196,385063581,47874147,51668262,61103706,72458403,85456872,97936104,108610992,116731254,120584685,48077016,50452119,57048570,65270625,74265177,82772055,90475164,95425683,97891617
4,50849685,75358044,116132058,170495181,228118953,286287987,332208900,367674756,384830835,47843925,51661062,61146999,72459903,85489239,97963884,108714366,116743827,120974724,48041760,50493735,56940084,65318082,74209005,82797360,90519219,95419467,97747089
5,50800536,75382413,116049135,170375133,227739966,286105932,331942707,368221575,384940986,47829114,51673683,61116942,72410259,85718634,97848765,108730566,116843475,120874173,48038079,50553345,56931735,65315643,74223552,82835700,90458667,95484918,97726107
6,50790135,75300090,116089728,170463204,228246867,286078995,332156136,367999548,385131948,47818164,51672093,61143009,72451590,85640010,98034861,108887358,116787069,120634185,48032427,50541609,57008370,65314929,73940226,82682352,90489534,95411877,97686939
7,50797575,75324465,116039382,170684700,228427764,286046607,331817463,368801907,384268125,47811717,51665994,61101798,72418002,85568133,97847664,108968703,116605053,120441510,48023457,50556324,57072570,65314275,73819155,82709637,90479391,95620254,97776531
8,50801433,75371688,116163321,170755986,228525597,286050003,332051067,369330600,384464574,47803188,51664368,61102362,72533697,85589691,97814610,108961551,116464467,120873327,48024438,50603313,57133275,65234514,73742022,82705929,90479346,95432517,97691400
9,50787528,75261327,116132367,170288754,228226206,286007472,333177411,369508362,383665437,47812596,51692982,61063059,72486780,85525737,97861059,109078923,116838873,120991410,48020760,50623425,57178038,65247450,73683096,82643961,90511527,95485974,97646232
